nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Aguascalientes,Aguascalientes,Colonia,Zona Centro,20000
Baja California,Ensenada,Fraccionamiento,Siena Residencial,22785
Chihuahua,Ahumada,Rancho,El ?gate,32830
Nayarit,Acaponeta,Ejido,La Paloma Primera,63427
Quintana Roo,Cozumel,Fraccionamiento,Las Golondrinas,77670
Sinaloa,Ahome,Colonia,?lamo,81248
Aguascalientes,Asientos,Colonia,Guadalupe,20700
Campeche,Campeche,Colonia,San Francisco de Campeche Centro,24000
Colima,Colima,Colonia,Colima Centro,28000
Sinaloa,Angostura,Rancho,Las Tunas,81625
Sonora,Agua Prieta,Colonia,Bicentenario,84269
Aguascalientes,Calvillo,Zona industrial,Parque Industrial Calvillo,20854
Baja California,Tecate,Colonia,Piedra Angular,21453
Baja California Sur,La Paz,Colonia,Zona Central,23000
Campeche,Carmen,Fraccionamiento,Residencial Las Palmas,24153
Chiapas,Acapetahua,Colonia,7 de Abril,30580
Guanajuato,San Miguel de Allende,Fraccionamiento,Polo Habitacional La Esmeralda,37893
Quintana Roo,Isla Mujeres,Colonia,La Guadalupana,77410
Veracruz de Ignacio de la Llave,Acayucan,Colonia,Villas Acayucan,96010
Coahuila de Zaragoza,Arteaga,Colonia,Autopista,25352
Sinaloa,Concordia,Pueblo,San Lorenzo,82685
Tabasco,Centro,Fraccionamiento,Portal Del Agua,86000
Durango,Durango,Colonia,Victoria de Durango Centro,34000
Guanajuato,Apaseo el Grande,Fraccionamiento,Villas de Castillo,38185
Tabasco,Comalcalco,Colonia,Bicentenario,86340
Tlaxcala,Apizaco,Fraccionamiento,Villa Santa Clara,90354
Veracruz de Ignacio de la Llave,Acultzingo,Colonia,El Mirador,94760
Colima,Manzanillo,Fraccionamiento,Almendros Residencial II,28864
Guanajuato,Celaya,Colonia,Villas Vicenza,38033
Morelos,Cuernavaca,Colonia,Cuernavaca Centro,62000
Sinaloa,Choix,Ejido,El Altillo,81717
Tamaulipas,Camargo,Colonia,El Sauz,88444
Guanajuato,Manuel Doblado,Finca,Agua Nueva,36495
Jalisco,Arandas,Rancho,La Garita,47186
Morelos,Emiliano Zapata,Fraccionamiento,Altavista,62764
Nayarit,Xalisco,Fraccionamiento,Puerta Luna,63785
Quintana Roo,Solidaridad,Fraccionamiento,Bali,77718
Chihuahua,Bocoyna,Barrio,El Pozo,33210
Jalisco,El Arenal,Fraccionamiento,La Cima,45355
Quintana Roo,Tulum,Colonia,Xul Kaa,77762
Sinaloa,Escuinapa,Colonia,INFONAVIT Las Flores,82457
Tamaulipas,Ciudad Madero,Fraccionamiento,Palmas II,89510
Campeche,Calakmul,Colonia,Bellavista,24640
Colima,Villa de ?lvarez,Fraccionamiento,Residencial Bosque Real,28978
Chiapas,Bejucal de Ocampo,Barrio,El Cercadillo,30953
Chihuahua,Buenaventura,Colonia,Barrio Sur,31884
Puebla,Ajalpan,Barrio,San Miguel,75910
Sinaloa,El Fuerte,Ejido,16 de Septiembre,81878
Veracruz de Ignacio de la Llave,Altotonga,Colonia,Loma de Las Flores,93700
Zacatecas,Fresnillo,Colonia,Universidad,99039
Campeche,Candelaria,Rancho,Tres de Mayo Tres,24344
Morelos,Jiutepec,Fraccionamiento,Las Canteras,62565
Sinaloa,Guasave,Fraccionamiento,Residencial Campestre,81048
Veracruz de Ignacio de la Llave,Alvarado,Rancho,El Martillo,95263
Tabasco,Macuspana,Ejido,Bayona,86717
Zacatecas,Genaro Codina,Rancho,Santa Gertrudis,98667
Chiapas,Bochil,Colonia,Guadalupe I,29770
Chihuahua,Casas Grandes,Rancho,Santa Rosa,31861
Distrito Federal,Xochimilco,Campamento,Tetitla la Gallera,16514
Jalisco,Atotonilco el Alto,Colonia,San Marcos,47755
Tlaxcala,Huamantla,Fraccionamiento,La Palma,90508
Zacatecas,General Enrique Estrada,Colonia,Agua Azul,98560
Chiapas,El Bosque,Colonia,San Isidro,29840
Oaxaca,Ciudad Ixtepec,Colonia,Niza Luba,70110
Guanajuato,Guanajuato,Colonia,Guanajuato Centro,36000
Chihuahua,La Cruz,Colonia,Panamericana,33670
Hidalgo,Cuautepec de Hinojosa,Fraccionamiento,Loma de Cuautepec,43740
Nayarit,Tecuala,Colonia,El Pato,63446
Coahuila de Zaragoza,Matamoros,Fraccionamiento,Ladrillera,27448
Durango,Ocampo,Rancho,El Molino,35383
Guanajuato,Irapuato,Colonia,El Zapote del Milagro,36554
Nayarit,Tepic,Colonia,Tepic Centro,63000
Sonora,Caborca,Fraccionamiento,San Luis,83680
Tabasco,Tenosique,Fraccionamiento,Tenosique 2000,86904
Coahuila de Zaragoza,Monclova,Fraccionamiento,Las Misiones,25743
Jalisco,La Barca,Fraccionamiento,Las Bugambilias,47913
Morelos,Temixco,Fraccionamiento,Conjunto Habitacional Campo Verde,62588
Sinaloa,Navolato,Rancho,San Blas,80347
Sonora,Cajeme,Fraccionamiento,Real Campestre,85053
Chihuahua,Chihuahua,Fraccionamiento,Caminos del Valle,31160
Puebla,Atlixco,Fraccionamiento,Valle Real,74367
Zacatecas,Jalpa,Fraccionamiento,Del Sol,99605
Chiapas,La Concordia,Pueblo,El Altillo,30362
Jalisco,Cabo Corrientes,Poblado comunal,Naranjitos (Arroyo Seco),48417
Veracruz de Ignacio de la Llave,Atlahuilco,Pueblo,Vista Hermosa,94837
Zacatecas,Jerez,Fraccionamiento,Guadalajara,99363
Chihuahua,Delicias,Equipamiento,Central de Abastos,33013
Coahuila de Zaragoza,Nava,Fraccionamiento,El Manantial,26174
Tamaulipas,Matamoros,Fraccionamiento,Privanzas,87413
Coahuila de Zaragoza,Ocampo,Ejido,Chula Vista,27545
Sonora,Cumpas,Colonia,La Loma,84504
Veracruz de Ignacio de la Llave,Atzalan,Poblado comunal,El Pimiento,93697
Coahuila de Zaragoza,Parras,Colonia,Rogelio Montemayor,27987
Zacatecas,Loreto,Colonia,Los ?ngeles,98832
Coahuila de Zaragoza,Piedras Negras,Fraccionamiento,Los Laureles,26015
Oaxaca,Chahuites,Colonia,El Morro,70195
Sonora,Empalme,Colonia,Luis Donaldo Colosio,85340
Veracruz de Ignacio de la Llave,Ayahualulco,Colonia,San Antonio Xoquitla,91260
Sonora,Etchojoa,Colonia,El Comparto,85287
Veracruz de Ignacio de la Llave,Banderilla,Colonia,Unidad y Trabajo,91302
Chiapas,Chiapa de Corzo,Colonia,Cabeza de Agua (San Antonio),29180
Chihuahua,Guachochi,Barrio,Las Truchas,33185
Durango,San Juan de Guadalupe,Rancho,Los Tenamastes,35917
Guanajuato,Salamanca,Fraccionamiento,Real Bugambilias,36720
Hidalgo,Huehuetla,Pueblo,San Antonio el Grande,43427
Tamaulipas,Nuevo Laredo,Fraccionamiento,Viviendas Unidas,88287
Guanajuato,Salvatierra,Colonia,Celeste,38906
Chihuahua,Guadalupe y Calvo,Colonia,Presidentes,33470
Guerrero,Chilpancingo de los Bravo,Colonia,Chilpancingo de los Bravos Centro,39000
Sonora,Guaymas,Fraccionamiento,San Geronimo,85425
Coahuila de Zaragoza,Saltillo,Colonia,Saltillo Zona Centro,25000
Chiapas,Chicomuselo,Ejido,El Raizal,30129
Chihuahua,Guazapares,Rancho,San Isidro,33390
Hidalgo,Ixmiquilpan,Colonia,Vista Hermosa,42302
Sonora,Hermosillo,Colonia,Hermosillo Centro,83000
Chihuahua,Guerrero,Colonia,Guadalupe,31680
Sonora,Huachinera,Colonia,Juribana,84415
Veracruz de Ignacio de la Llave,Carrillo Puerto,Rancho,Loma Tigra (Mata la Tigra),94984
Zacatecas,Monte Escobedo,Rancho,Berrendos,99436
Coahuila de Zaragoza,San Juan de Sabinas,Colonia,Mina Siete,26820
Chihuahua,Hidalgo del Parral,Fraccionamiento,El Quijote,33824
Tamaulipas,Reynosa,Zona industrial,Parque Industrial American Industries Kimco,88796
Veracruz de Ignacio de la Llave,Catemaco,Poblado comunal,Tebanca,95873
Guanajuato,San Luis de la Paz,Pueblo,Mineral de Pozos,37915
Tlaxcala,Tlaxcala,Colonia,Tlaxcala Centro,90000
Veracruz de Ignacio de la Llave,Cazones de Herrera,Rancho,El Zapote,92976
Chiapas,Frontera Comalapa,Pueblo,Las Champas,30150
Durango,Tamazula,Ejido,El Durazno,34570
Veracruz de Ignacio de la Llave,Cerro Azul,Colonia,Clouthier,92523
Durango,Tepehuanes,Ejido,La Vinata,35633
Guerrero,Iguala de la Independencia,Colonia,Fidel Castro,40027
Durango,Vicente Guerrero,Colonia,Loma Bonita,34894
Puebla,Cuapiaxtla de Madero,Colonia,Hermosillo,75420
Veracruz de Ignacio de la Llave,Coatepec,Fraccionamiento,Santa Rosa,91540
Sonora,Naco,Colonia,Cerro La Cruz,84185
Chiapas,Huixtla,Colonia,La Florida,30649
Tamaulipas,Valle Hermoso,Fraccionamiento,Hacienda del Valle,87505
Veracruz de Ignacio de la Llave,Coatzintla,Fraccionamiento,Las Palmas,93167
Guanajuato,Uriangato,Colonia,Lindavista,38984
Puebla,Cuautlancingo,Fraccionamiento,Bosque Sanctorum,72733
Tamaulipas,Victoria,Colonia,Ciudad Victoria Centro,87000
Guanajuato,Valle de Santiago,Fraccionamiento,Las Haciendas,38403
Sonora,Navojoa,Fraccionamiento,Residencial La Huerta,85835
Veracruz de Ignacio de la Llave,Colipa,Rancho,La Cachetada,93956
Zacatecas,Sombrerete,Ejido,Charco Blanco,99113
Sonora,Nogales,Fraccionamiento,Monarca,84066
Tlaxcala,Yauhquemehcan,Fraccionamiento,Arenal,90454
Chiapas,Ixtapa,Colonia,Nuevo Porvenir,29345
Tlaxcala,Zacatelco,Colonia,Domingo Arenas,90754
Zacatecas,Tabasco,Colonia,Arboledas,99630
Chiapas,Ixtapangajoya,Colonia,Nuevo Poblado Llanos Morelos,29596
Chihuahua,Meoqui,Colonia,Camino Real,33130
Chiapas,Jiquipilas,Paraje,Aurora Cintal,30434
Chihuahua,Morelos,Rancho,Los Placeres,33467
Oaxaca,Magdalena Jaltepec,Colonia,El Nogal,69900
Chiapas,Jitotol,Barrio,Xitoltepeque,29760
Jalisco,Jamay,Colonia,San Isidro,47902
Puebla,Chiautla,Barrio,Titilintzin,74733
Veracruz de Ignacio de la Llave,Coscomatepec,Rancho,El Cebadal,94142
Chihuahua,Namiquipa,Colonia,Campo Cincuenta y Seis (Tres Hermanos),31977
Hidalgo,Pachuca de Soto,Colonia,Centro,42000
Veracruz de Ignacio de la Llave,Cosoleacaque,Ejido,La Bomba,96345
Chihuahua,Nuevo Casas Grandes,Fraccionamiento,Praderas del Oriente,31704
Chiapas,Mapastepec,Paraje,El Rosario,30568
Hidalgo,Mineral de la Reforma,Fraccionamiento,Loma Escondida,42186
Veracruz de Ignacio de la Llave,Cuichapa,Colonia,Antorcha Campesina,94922
Jalisco,Lagos de Moreno,Colonia,Paseos del Sol,47530
Puebla,Chignahuapan,Barrio,Toltempan,73300
Chihuahua,Riva Palacio,Ejido,Campo Setenta y Tres,31646
Veracruz de Ignacio de la Llave,Chacaltianguis,Rancho,La Gloria,95563
Chiapas,Metapa,Colonia,San Judas Tadeo,30860
Jalisco,Magdalena,Fraccionamiento,Rinconada Casa Blanca,46473
Veracruz de Ignacio de la Llave,Chalma,Rancho,Felipe ?ngeles,92183
Hidalgo,Santiago Tulantepec de Lugo Guerrero,Colonia,Ex-Hacienda de San Francisco,43774
Sonora,San Miguel de Horcasitas,Rancho,Campito San Alberto,83376
Veracruz de Ignacio de la Llave,Chiconamel,Poblado comunal,El Aguacate,92164
Zacatecas,Zacatecas,Colonia,Zacatecas Centro,98000
Chiapas,Motozintla,Barrio,Los Olivos,30900
Guerrero,Teloloapan,Colonia,12 de Mayo,40405
Jalisco,Mascota,Rancho,Gallineros,46937
Chihuahua,San Francisco del Oro,Barrio,Barrio 5 de Mayo,33506
Veracruz de Ignacio de la Llave,Chinameca,Barrio,Nuevo,95983
Tlaxcala,Santa Isabel Xiloxoxtla,Zona industrial,Parque Industrial Xiloxoxtla,90194
Chiapas,Ocozocoautla de Espinosa,Pueblo,Salvador Urbina,29148
Chiapas,Oxchuc,Pueblo,El Tzay,29454
Jalisco,Ojuelos de Jalisco,Pueblo,Las Amarillas,47565
Puebla,Francisco Z. Mena,Pueblo,Coyolito (El Coyol),73009
Veracruz de Ignacio de la Llave,Emiliano Zapata,Colonia,Del Maestro,91630
Chiapas,Pantepec,Barrio,San Juan,29660
Chiapas,Pijijiapan,Ejido,Miramar,30553
Jalisco,Quitupan,Pueblo,Rafael Picazo (Santa Cruz),49572
Jalisco,El Salto,Parque industrial,El Salto,45685
Puebla,Huatlatlauca,Colonia,Emiliano Zapata,75393
Puebla,Huauchinango,Fraccionamiento,Las Flores,73177
Veracruz de Ignacio de la Llave,Huatusco,Colonia,Los Carriles,94107
Veracruz de Ignacio de la Llave,Huayacocotla,Pueblo,Los Charcos,92605
Oaxaca,Putla Villa de Guerrero,Colonia,La Quebradora,71007
Veracruz de Ignacio de la Llave,Hueyapan de Ocampo,Barrio,Los Acahuales,95855
Chiapas,Reforma,Colonia,Nueva Esperanza,29500
Puebla,Huejotzingo,Fraccionamiento,Paseo de los Sauces,74160
Puebla,Hueytamalco,Pueblo,El Progreso,73585
Chiapas,Salto de Agua,Ejido,Arroyo Palenque,29903
Hidalgo,Tulancingo de Bravo,Fraccionamiento,Privada Riva Palacio,43624
Oaxaca,Reyes Etla,Fraccionamiento,Los Reyes,68237
Chiapas,San Fernando,Pueblo,El Carmelo,29127
Oaxaca,Salina Cruz,Colonia,Playa Azul,70703
Veracruz de Ignacio de la Llave,Ixhuatlancillo,Fraccionamiento,Los Reyes,94435
Hidalgo,Zempoala,Fraccionamiento,Valle Diamante,43845
Jalisco,Tala,Fraccionamiento,La Estancia,45306
Jalisco,Talpa de Allende,Rancho,Los Encinos,48247
Veracruz de Ignacio de la Llave,Ixmatlahuacan,Rancho,Majapa (Mata Lagarto),95435
Chiapas,Suchiapa,Colonia,Nandayalu,29150
Puebla,Jalpan,Colonia,La Gloria,73054
Chiapas,Sunuapa,Colonia,Nuevo Sunuapa,29540
Chiapas,Tapachula,Colonia,Coapantes,30740
Chiapas,Tapalapa,Barrio,Magdalena,29670
Veracruz de Ignacio de la Llave,Jilotepec,Colonia,Linderos,91394
Puebla,Libres,Unidad habitacional,Villa Montana,73798
Veracruz de Ignacio de la Llave,Juchique de Ferrer,Rancho,Puente Colgante,91444
Veracruz de Ignacio de la Llave,Lerdo de Tejada,Rancho,Bajada de los Apompos,95295
Jalisco,San Pedro Tlaquepaque,Fraccionamiento,Las Terrazas Residencial,45599
Chiapas,La Trinitaria,Pueblo,Francisco Villa,30166
Veracruz de Ignacio de la Llave,Mariano Escobedo,Pueblo,Los Naranjos,94424
Chiapas,Tuxtla Chico,Barrio,San Juan,30870
Jalisco,Tonaya,Colonia,Guadalupana,48760
Veracruz de Ignacio de la Llave,Misantla,Unidad habitacional,Maestros Veracruzanos,93829
Veracruz de Ignacio de la Llave,Mixtla de Altamirano,Rancho,Xometla,95043
Veracruz de Ignacio de la Llave,Naolinco,Rancho,Palo Blanco,91406
Puebla,Puebla,Colonia,Centro,72000
Jalisco,Villa Guerrero,Barrio,Verde,46106
Veracruz de Ignacio de la Llave,Oluta,Colonia,San Judas Tadeo,96166
Veracruz de Ignacio de la Llave,Omealca,Colonia,Solidaridad,94902
Veracruz de Ignacio de la Llave,Orizaba,Fraccionamiento,Lago del ?ngel Residencial,94330
Jalisco,Zapopan,Fraccionamiento,Altavista Residencial,45133
Veracruz de Ignacio de la Llave,Oteapan,Colonia,Tierra Colorada,96335
Jalisco,Zapotiltic,Ejido,Zapotiltic,49606
Jalisco,Zapotlanejo,Colonia,Lomas de Huizquilco,45432
Veracruz de Ignacio de la Llave,Papantla,Poblado comunal,Francisco I. Madero,93536
Veracruz de Ignacio de la Llave,Paso del Macho,Poblado comunal,Paso Frijol,94975
Veracruz de Ignacio de la Llave,Paso de Ovejas,Pueblo,Mata Grande,91672
Veracruz de Ignacio de la Llave,La Perla,Poblado comunal,El Zapote,94155
Veracruz de Ignacio de la Llave,Playa Vicente,Pueblo,La Sabana Carame,95609
Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,Fraccionamiento,Lomas Residencial,93308
Veracruz de Ignacio de la Llave,Pueblo Viejo,Colonia,Bugambilias,92034
Veracruz de Ignacio de la Llave,Puente Nacional,Colonia,Casa Blanca,91659
Veracruz de Ignacio de la Llave,Los Reyes,Rancho,Tlanestla,95066
Veracruz de Ignacio de la Llave,San Juan Evangelista,Pueblo,Vista Hermosa,96132
Veracruz de Ignacio de la Llave,Soconusco,Rancho,El Pedregal,96173
Veracruz de Ignacio de la Llave,Soledad Atzompa,Colonia,Barrio Morastitla,94770
Veracruz de Ignacio de la Llave,Soledad de Doblado,Rancho,Tranca Negra,94245
Veracruz de Ignacio de la Llave,Soteapan,Pueblo,Cuilonia,95922
Veracruz de Ignacio de la Llave,Tamiahua,Rancho,Naranjalito,92590
Veracruz de Ignacio de la Llave,Tantima,Rancho,Cerro de Ayahuint,92443
Veracruz de Ignacio de la Llave,Tantoyuca,Pueblo,Loma Larga,92117
Oaxaca,San Jacinto Amilpas,Fraccionamiento,Pinos Esmeralda,68285
Veracruz de Ignacio de la Llave,Tehuipango,Pueblo,Xiujtempa,95039
Veracruz de Ignacio de la Llave,?lamo Temapache,Poblado comunal,El Mangar,92764
Veracruz de Ignacio de la Llave,Tempoal,Rancho,El Barranco,92079
Veracruz de Ignacio de la Llave,Tierra Blanca,Rancho,Las Lajitas,95200
Veracruz de Ignacio de la Llave,Tlacotalpan,Colonia,Cuauhtemoc,95462
Oaxaca,San Juan Bautista Tuxtepec,Colonia,Linda Vista,68335
Oaxaca,San Juan Colorado,Colonia,Gigante,71720
Veracruz de Ignacio de la Llave,Tuxpan,Rancho,Tronconal,92783
Veracruz de Ignacio de la Llave,Vega de Alatorre,Rancho,El Centenario (El Tecolote),93986
Veracruz de Ignacio de la Llave,Veracruz,Fraccionamiento,Los Torrentes Aeropuerto,91698
Puebla,Xicotepec,Colonia,Nactanca Chica (La Colonia),73099
Oaxaca,San Juan Guichicovi,Colonia,Maluco,70341
Veracruz de Ignacio de la Llave,Zentla,Rancho,Contadero,94229
Veracruz de Ignacio de la Llave,Zozocolco de Hidalgo,Pueblo,Plan de Ayala,93005
Veracruz de Ignacio de la Llave,Agua Dulce,Fraccionamiento,Quince de Agosto,96395
Veracruz de Ignacio de la Llave,El Higo,Rancho,San Isidro,92409
Veracruz de Ignacio de la Llave,Uxpanapa,Pueblo,General Valerio Trujano,96998
Oaxaca,San Lorenzo Cacaotepec,Colonia,7 de Marzo,68264
Oaxaca,San Miguel Peras,Barrio,Barrio Buena Vista,71328
Oaxaca,San Miguel Santa Flor,Rancho,Palo Mora,68624
Oaxaca,San Pablo Etla,Fraccionamiento,6 de Enero,68258
Oaxaca,San Pablo Villa de Mitla,Colonia,3 de Mayo,70435
Oaxaca,San Pedro Huilotepec,Colonia,San Diego,70778
Oaxaca,San Pedro Mixtepec -Dto. 22 -,Fraccionamiento,Cabo las Olas,71996
Oaxaca,San Pedro Pochutla,Barrio,Barrio Chubasco,70900
Oaxaca,Santa Gertrudis,Barrio,De la Esmeralda,71340
Oaxaca,Santiago Laollaga,Colonia,Del Carmen (Palo Grande),70720
Oaxaca,Santiago Pinotepa Nacional,Colonia,Emiliano Zapata,71604
Oaxaca,Santiago Suchilquitongo,Barrio,Del Sol,68230
Oaxaca,Santiago Tlazoyaltepec,Pueblo,Buena Vista,68269
Oaxaca,Santiago Yaveo,Pueblo,Dolores Hidalgo,68970
Oaxaca,Santo Domingo Zanatepec,Colonia,Ejidal,70160
Oaxaca,Tlacolula de Matamoros,Colonia,San Isidro,70400
Oaxaca,Trinidad Zaachila,Barrio,Barrio la Guadalupe,71286
Oaxaca,Villa de Zaachila,Colonia,Renacimiento,71317
Nayarit,Acaponeta,Ejido,San Blasito,63424
Puebla,Acajete,Pueblo,Tlacamilco,75117
Sinaloa,Ahome,Fraccionamiento,Real del Valle,81271
Aguascalientes,Asientos,Colonia,Loma Bonita,20700
Baja California,Mexicali,Colonia,Alvarado,21742
Campeche,Campeche,Fraccionamiento,Residencial los Almendros,24095
Colima,Colima,Fraccionamiento,Lomas de Santa Elena,28047
Chihuahua,Aldama,Rancho,El Porvenir,32902
Aguascalientes,Calvillo,Colonia,Cerrito Alto,20805
Campeche,Carmen,Fraccionamiento,Orizaba,24158
Chihuahua,Allende,Colonia,Colonia Progreso (El Dorado),33928
Guanajuato,San Miguel de Allende,Fraccionamiento,Paseo Real,37766
Quintana Roo,Isla Mujeres,Colonia,Monte Olivo,77410
Sinaloa,Badiraguato,Pueblo,Piedra Bola,80639
Baja California,Tijuana,Colonia,Rancho Santa Cruz,22170
Coahuila de Zaragoza,Arteaga,Rancho,Los Pioneros,25369
Tabasco,Centro,Colonia,Villahermosa Centro,86000
Baja California,Playas de Rosarito,Fraccionamiento,Lomas del Desierto,22705
Durango,Durango,Fraccionamiento,Residencial Caletto,34109
Tlaxcala,Apizaco,Fraccionamiento,Villas del Monte,90355
Veracruz de Ignacio de la Llave,Acula,Rancho,San Miguel Buenavista,95443
Zacatecas,Calera,Zona industrial,Mega Parque Industrial Aeropuerto de Calera,98519
Campeche,Palizada,Rancho,El Carmen (San Marcos),24207
Colima,Manzanillo,Fraccionamiento,Rosa Morada,28869
Guanajuato,Celaya,Residencial,Residencial Santiago,38020
Nayarit,Jala,Colonia,San Juan de Dios,63880
Sinaloa,Choix,Ejido,Las Rastras,81717
Baja California Sur,Los Cabos,Fraccionamiento,Loma Encantada,23537
Guanajuato,Manuel Doblado,Granja,Agua Tibia,36490
Hidalgo,Apan,Colonia,El Carmen,43905
Nayarit,Xalisco,Fraccionamiento,Alborada,63782
Quintana Roo,Solidaridad,Fraccionamiento,Residencial Real del Sol,77725
Coahuila de Zaragoza,Francisco I. Madero,Fraccionamiento,San Francisco,27906
Quintana Roo,Tulum,Pueblo,Ciudad Chemuyil,77774
Tamaulipas,Ciudad Madero,Fraccionamiento,17 de Enero,89505
Campeche,Calakmul,Colonia,10 de Mayo,24640
Chihuahua,Buenaventura,Rancho,Presidio Velarde,31885
Sinaloa,El Fuerte,Rancho,Presa de los Valdez,81855
Zacatecas,Fresnillo,Fraccionamiento,Lomas del Mineral,99010
Campeche,Candelaria,Rancho,El Manantial,24343
Chihuahua,Camargo,Fraccionamiento,Jardines de San Marcos,33720
Sinaloa,Guasave,Colonia,Santa Clara,81049
Veracruz de Ignacio de la Llave,Alvarado,Condominio,Lomas de la Rioja,95264
Durango,Lerdo,Fraccionamiento,Cerrada el Rosario,35159
Tabasco,Macuspana,Fraccionamiento,Siglo XXI,86700
Zacatecas,Genaro Codina,Colonia,Los Arteaga,98660
Guanajuato,Doctor Mora,Poblado comunal,Derramadero de en Medio,37967
Hidalgo,Atotonilco de Tula,Fraccionamiento,Real Castilla,42994
Guanajuato,Guanajuato,Fraccionamiento,Manantial,36259
Nayarit,Tecuala,Colonia,El Pozole,63446
Coahuila de Zaragoza,Matamoros,Colonia,Luis Donaldo Colosio,27443
Guanajuato,Irapuato,Fraccionamiento,Trento,36670
Nayarit,Tepic,Fraccionamiento,Brisas de San Juan,63117
Sinaloa,Sinaloa,Pueblo,El Noroto,81993
Sonora,Caborca,Colonia,El Cerrito,83663
Tabasco,Tenosique,Colonia,La Raza,86904
Coahuila de Zaragoza,Monclova,Colonia,Posada del Sol,25743
Morelos,Temixco,Fraccionamiento,Colinas de Altar,62588
Sonora,Cajeme,Fraccionamiento,Las Puertas,85053
Chihuahua,Chihuahua,Fraccionamiento,Vistas del Norte,31184
Puebla,Atlixco,Colonia,Insurgentes,74280
Zacatecas,Jalpa,Colonia,Arroyo Blanco,99607
Jalisco,Cabo Corrientes,Pueblo,Las Juntas y los Veranos,48425
Veracruz de Ignacio de la Llave,Atlahuilco,Pueblo,Terrero,94836
Zacatecas,Jerez,Fraccionamiento,Villas de San Isidro,99323
Chihuahua,Delicias,Parque industrial,Parque Industrial Fama,33088
Coahuila de Zaragoza,Nava,Colonia,Plan de Ayala,26183
Tamaulipas,Matamoros,Fraccionamiento,El Caracol,87313
Chiapas,Chamula,Colonia,La Ventana 1,29322
Sonora,Cumpas,Colonia,Los Huitos,84507
Veracruz de Ignacio de la Llave,Atzalan,Poblado comunal,Huatamimilo,93687
Coahuila de Zaragoza,Parras,Ejido,La Vega,27996
Coahuila de Zaragoza,Piedras Negras,Fraccionamiento,Valle de San Pablo,26093
Sonora,Empalme,Colonia,Infonavit Guadalupe,85388
Sonora,Etchojoa,Colonia,13 de Octubre,85280
Chihuahua,Guachochi,Colonia,Buenavista,33185
Tamaulipas,Nuevo Laredo,Fraccionamiento,Tulipanes,88290
Guanajuato,Salvatierra,Colonia,Los Arcos,38904
Zacatecas,Mezquital del Oro,Rancho,Los Gallos,99867
Chihuahua,Guadalupe y Calvo,Colonia,Mina,33470
Guerrero,Chilpancingo de los Bravo,Colonia,El Mirador,39107
Sonora,Guaymas,Unidad habitacional,Ocotillo II,85425
Zacatecas,Miguel Auza,Colonia,Betania,98330
Coahuila de Zaragoza,Saltillo,Colonia,Lomas del Sur,25084
Chiapas,Chicomuselo,Ejido,20 de Noviembre,30123
Guanajuato,San Felipe,Pueblo,Chirimoya Vieja,37616
Sonora,Hermosillo,Gran usuario,Centro SCT Sonora,83219
Sonora,Huachinera,Barrio,Bacatete,84406
Veracruz de Ignacio de la Llave,Carrillo Puerto,Rancho,La Quebracha,94985
Chihuahua,Hidalgo del Parral,Fraccionamiento,Lomas del Mirador,33850
Tamaulipas,Reynosa,Colonia,Brisas de Almaguer,88780
Veracruz de Ignacio de la Llave,Catemaco,Poblado comunal,Bajos de Mimiahua,95879
Tlaxcala,Tlaxcala,Barrio,Tlayecac,90110
Zacatecas,Pinos,Colonia,Los Encinitos,98974
Jalisco,Guadalajara,Gran usuario,Palacio de Gobierno Del Estado de Jalisco,44009
Chiapas,La Independencia,Barrio,16 de Septiembre,30170
Puebla,Cuautlancingo,Fraccionamiento,Las Trojes Almecatla,72713
Tamaulipas,Victoria,Fraccionamiento,Hacienda del Nogal,87089
Jalisco,Huejuquilla el Alto,Rancho,Vallecito,46015
Sonora,Navojoa,Fraccionamiento,Los Arcos,85825
Veracruz de Ignacio de la Llave,Colipa,Rancho,Coyolillo,93954
Jalisco,La Huerta,Colonia,El Refugio,48850
Sonora,Nogales,Fraccionamiento,Fuente de Plata,84093
Zacatecas,Tabasco,Colonia,Lomas de Solidaridad,99630
Chihuahua,Meoqui,Colonia,1o. de Mayo,33130
Chiapas,Jitotol,Pueblo,Buenavista,29764
Jalisco,Jamay,Colonia,El Trompo,47902
Chihuahua,Namiquipa,Barrio,Barrio el Sacrificio,31963
Hidalgo,Pachuca de Soto,Colonia,Sierra Bonita,42039
Veracruz de Ignacio de la Llave,Cosoleacaque,Rancho,Cascajal I,96349
Veracruz de Ignacio de la Llave,Cotaxtla,Pueblo,Loma del Manantial,94994
Hidalgo,Mineral de la Reforma,Fraccionamiento,Pedregal de los ?ngeles II,42186
Jalisco,Lagos de Moreno,Rancho,El Tajo,47524
Veracruz de Ignacio de la Llave,Chacaltianguis,Pueblo,Las Sabanetas,95574
Hidalgo,Santiago Tulantepec de Lugo Guerrero,Fraccionamiento,Bosques de San Francisco,43774
Jalisco,Mascota,Rancho,Malpaso,46937
Veracruz de Ignacio de la Llave,Chicontepec,Pueblo,Akichtzintla,92705
Chihuahua,San Francisco del Oro,Barrio,INDE,33500
Veracruz de Ignacio de la Llave,Chinameca,Colonia,El Naranjal,95983
Tlaxcala,Santa Isabel Xiloxoxtla,Conjunto habitacional,Villas de Santa Isabel,90193
